"country","naics","industry_name","year","GDP in Current Prices (Millions)","Cost of Capital (Millions)","Cost of ICT Capital (Millions)","Cost of non-ICT Capital (Millions)","Cost of Labour (Millions)","Hours Worked (Millions)","Quantity Index of GDP","Quantity Index of Capital Services","Quantity Index of ICT Capital Services","Quantity Index of Non-ICT Capital","Quantity Index of Labour","Quantity Index of Hours Worked","Total Cost of Capital and Labour (Millions)","Index of Multifactor Productivity","Index of Labour Productivity","Index of Capital Productivity","Index of Capital Intensity","Index of ICT Capital Intensity","Index of non-ICT Capital Intensity","Index of Labour Composition","Contribution of Capital Intensity","Contribution of ICT Capital Intensity","Contribution of non-ICT Capital Intensity","Contribution of Labour Composition"
"United States","11","Agriculture, forestry, fishing and hunting",2014,208014,79685,116,79569,128331,198.187,108.460649706246,102.390896759702,116.513267712638,102.372097913541,100.817654488214,99.1223281699429,208016,88.082736516639,90.105493033187,87.2291046665121,103.297509905291,1.17544926419483,1.03278544606041,1.0171033746843,101.306513605821,100.507028633329,101.297867174683,100.977147703882
"United States","11","Agriculture, forestry, fishing and hunting",2015,190884,73163,110,73053,117721,202.783,117.147785712302,100.368985387618,110.504716025973,100.355569812108,99.5404393363399,101.396556538738,190884,96.6244564602807,95.1396254870971,96.1136587913231,98.9865818069201,1.08982710851483,0.989733510070115,0.9816944749826,99.6651645976574,100.502719005435,99.6609712916545,98.7940945501354
"United States","11","Agriculture, forestry, fishing and hunting",2016,178510,58713,94,58619,119797,201.226,124.297579626505,98.7236410410745,104.809424987367,98.7162076692296,98.978050584753,100.61501674078,178510,103.503793034611,101.730324078551,103.679302670268,98.1201854743233,1.04168769615567,0.981127975395143,0.98373039920826,99.3536501580258,100.500215352671,99.3520135534791,98.9259740946979
"United States","11","Agriculture, forestry, fishing and hunting",2017,186469,66102,83,66019,120366,200,121.436555506208,100,100,100,100,100,186468,100,100,100,100,1,1,1,100,100.498221133807,100,100
"United States","11","Agriculture, forestry, fishing and hunting",2018,188923,75942,76,75866,112982,203.058,126.106621682936,101.489205475629,95.3279872564013,101.495583480613,97.7141108630485,101.519076736048,188924,104.762168072636,102.291793160196,102.321900645794,99.9705757170184,0.939015506457536,0.999768582849744,0.962519695850935,99.9888697424871,100.495541843608,99.9912562117409,97.652789790125
"United States","11","Agriculture, forestry, fishing and hunting",2019,184707,72596,75,72521,112112,208.285,118.62692266515,101.180450386799,91.5539925378632,101.190738599867,100.332695032806,104.099268723185,184708,97.108227291873,93.8395994933289,96.5466515239647,97.1961202300591,0.879487374510942,0.972060033091562,0.963817481750088,98.8764573645179,100.492881790981,98.881466899106,97.7320979675104
"United States","11","Agriculture, forestry, fishing and hunting",2020,201058,94815,70,94745,106244,198.415,120.361160715061,101.377028351685,86.3657855833269,101.391857394957,99.1789000505286,99.0429612933273,201059,99.0937721639612,100.07216837289,97.7681439261756,102.356620831888,0.87200326459893,1.02371593166195,1.00137252314981,101.112649165367,100.492557930671,101.117746801908,99.8760734950769
"United States","11","Agriculture, forestry, fishing and hunting",2021,245102,137491,63,137428,107612,193.333,126.060641179707,104.436452268526,82.5815751802586,104.455304067162,95.8054898862347,96.4730738675622,245103,103.930545736226,107.602894801819,99.3980721586408,108.254508829993,0.856006467603864,1.08274049825092,0.993080100440834,104.079750754436,100.491994909634,104.085071706038,99.4751273634445
"United States","11","Agriculture, forestry, fishing and hunting",2022,302282,171233,66,171167,131047,203.93,126.015352527908,109.15666121994,80.6317697981176,109.17923985099,98.0747682388866,101.623341203621,302280,100.306538907356,102.112885555718,95.0656835244004,107.412982024696,0.793437500116801,1.07435199982482,0.965081122872903,103.62289001001,100.490181925007,103.629917369453,98.2416398586385
"United States","11","Agriculture, forestry, fishing and hunting",2023,282822,147649,63,147586,135173,204.317,130.903334849758,108.03020987278,78.4793397396229,108.053327238472,98.1845226004643,101.816013645386,282822,104.733845200042,105.872990692225,99.7828836738514,106.103358405916,0.770795643335222,1.06126063445,0.964332810577621,102.933338010981,100.48954027852,102.94099711065,98.2069166555207
